,RMSE,MAE,R²,CV R² Mean,CV R² Std
Random Forest,28232.00919747675,17821.99632603853,0.8960870343976275,0.8357754590932519,0.05276928323761615
Lasso (alpha=0.1),32997.725038148914,20581.346226246693,0.8580438656346815,0.7909192475159055,0.07230866424653506
Linear Regression,32999.88895660685,20581.407857254493,0.8580252466801227,0.7909407929394436,0.07232794278132658
Ridge (alpha=10),33137.06163437171,20457.397826819124,0.856842483083541,0.7947645955844994,0.0766675728031643
ElasticNet,34233.639725313355,20540.042744599035,0.8472109194333302,0.7932552217776999,0.08145492598290868
